idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
10,"Distractor: Carol likes yellow. Distractor: Carol likes yellow. Distractor: Alice likes red. Distractor: Carol likes blue. Distractor: Alice likes blue. Distractor: Carol likes blue. Distractor: Carol likes green. Distractor: Alice likes blue. Distractor: Alice likes blue. Distractor: Alice likes blue. Alice likes red. Actually, Alice likes blue. What color does Alice like?",blue,Alice likes blue.,,,,3,1,1,1,176.21771599988278,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Distractor: Bob likes red. Distractor: Alice likes blue. Distractor: Bob likes red. Distractor: Alice likes green. Distractor: Bob likes green. Distractor: Bob likes green. Distractor: Dave likes yellow. Distractor: Bob likes blue. Distractor: Carol likes blue. Distractor: Bob likes green. Bob likes yellow. Actually, Bob likes green. What color does Bob like?",green,Bob likes green.,,,,3,1,1,1,173.9073710004959,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Distractor: Carol likes blue. Distractor: Dave likes green. Distractor: Dave likes red. Distractor: Bob likes blue. Distractor: Alice likes blue. Distractor: Alice likes green. Distractor: Carol likes blue. Distractor: Bob likes yellow. Distractor: Dave likes yellow. Distractor: Alice likes yellow. Bob likes green. Actually, Bob likes blue. What color does Bob like?",blue,blue,,,,1,1,0,0,96.13722799986135,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Distractor: Alice likes green. Distractor: Bob likes red. Distractor: Carol likes red. Distractor: Alice likes red. Distractor: Carol likes red. Distractor: Carol likes green. Distractor: Carol likes blue. Distractor: Alice likes yellow. Distractor: Alice likes blue. Distractor: Alice likes green. Dave likes blue. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,,,,1,1,0,0,96.07484899970586,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Distractor: Carol likes green. Distractor: Bob likes red. Distractor: Alice likes yellow. Distractor: Bob likes red. Distractor: Carol likes red. Distractor: Bob likes blue. Distractor: Carol likes blue. Distractor: Dave likes blue. Distractor: Dave likes yellow. Distractor: Alice likes green. Bob likes green. Actually, Bob likes red. What color does Bob like?",red,red,,,,1,1,0,0,94.53495799971279,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Distractor: Alice likes yellow. Distractor: Alice likes blue. Distractor: Carol likes blue. Distractor: Alice likes red. Distractor: Dave likes yellow. Distractor: Dave likes yellow. Distractor: Bob likes green. Distractor: Carol likes blue. Distractor: Carol likes green. Distractor: Alice likes red. Bob likes blue. Actually, Bob likes green. What color does Bob like?",green,green,,,,1,1,0,0,96.86963400054083,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Distractor: Dave likes yellow. Distractor: Carol likes blue. Distractor: Bob likes yellow. Distractor: Bob likes blue. Distractor: Bob likes green. Distractor: Alice likes green. Distractor: Carol likes red. Distractor: Bob likes green. Distractor: Dave likes blue. Distractor: Alice likes green. Carol likes blue. Actually, Carol likes red. What color does Carol like?",red,red,,,,1,1,0,0,96.6676420002841,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Distractor: Carol likes green. Distractor: Dave likes red. Distractor: Dave likes blue. Distractor: Dave likes green. Distractor: Dave likes red. Distractor: Bob likes yellow. Distractor: Carol likes red. Distractor: Carol likes yellow. Distractor: Carol likes blue. Distractor: Carol likes yellow. Carol likes green. Actually, Carol likes red. What color does Carol like?",red,Carol likes red.,,,,3,1,1,1,173.6871590001101,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Distractor: Dave likes red. Distractor: Dave likes blue. Distractor: Alice likes yellow. Distractor: Carol likes yellow. Distractor: Dave likes yellow. Distractor: Dave likes blue. Distractor: Alice likes green. Distractor: Bob likes red. Distractor: Alice likes yellow. Distractor: Alice likes red. Carol likes red. Actually, Carol likes blue. What color does Carol like?",blue,blue,,,,1,1,0,0,95.3704839994316,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Distractor: Carol likes yellow. Distractor: Dave likes red. Distractor: Carol likes yellow. Distractor: Bob likes yellow. Distractor: Bob likes blue. Distractor: Dave likes green. Distractor: Bob likes yellow. Distractor: Dave likes red. Distractor: Dave likes blue. Distractor: Carol likes yellow. Alice likes green. Actually, Alice likes blue. What color does Alice like?",blue,Alice likes blue.,,,,3,1,1,1,172.59697299959953,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Distractor: Bob likes yellow. Distractor: Carol likes yellow. Distractor: Bob likes yellow. Distractor: Dave likes red. Distractor: Dave likes blue. Distractor: Alice likes yellow. Distractor: Bob likes yellow. Distractor: Dave likes red. Distractor: Bob likes red. Distractor: Alice likes red. Carol likes blue. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,97.1196950004014,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Distractor: Bob likes green. Distractor: Bob likes green. Distractor: Carol likes yellow. Distractor: Carol likes green. Distractor: Alice likes green. Distractor: Dave likes green. Distractor: Carol likes blue. Distractor: Dave likes blue. Distractor: Dave likes green. Distractor: Bob likes yellow. Carol likes red. Actually, Carol likes yellow. What color does Carol like?",yellow,Carol likes yellow.,,,,3,1,1,1,175.46951100030128,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Distractor: Alice likes green. Distractor: Alice likes yellow. Distractor: Carol likes blue. Distractor: Bob likes green. Distractor: Alice likes blue. Distractor: Dave likes blue. Distractor: Alice likes blue. Distractor: Alice likes red. Distractor: Alice likes green. Distractor: Alice likes red. Carol likes yellow. Actually, Carol likes red. What color does Carol like?",red,red,,,,1,1,0,0,94.83917099987593,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Distractor: Bob likes yellow. Distractor: Dave likes blue. Distractor: Dave likes blue. Distractor: Alice likes yellow. Distractor: Bob likes yellow. Distractor: Carol likes green. Distractor: Alice likes blue. Distractor: Carol likes green. Distractor: Alice likes blue. Distractor: Alice likes yellow. Bob likes red. Actually, Bob likes yellow. What color does Bob like?",yellow,yellow,,,,1,1,0,0,94.84399999928428,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Distractor: Bob likes green. Distractor: Carol likes yellow. Distractor: Carol likes green. Distractor: Alice likes green. Distractor: Bob likes yellow. Distractor: Carol likes yellow. Distractor: Bob likes red. Distractor: Alice likes blue. Distractor: Dave likes yellow. Distractor: Carol likes blue. Alice likes green. Actually, Alice likes yellow. What color does Alice like?",yellow,Alice likes yellow.,,,,3,1,1,1,174.83070700018288,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Distractor: Dave likes red. Distractor: Dave likes red. Distractor: Dave likes red. Distractor: Bob likes red. Distractor: Carol likes blue. Distractor: Carol likes green. Distractor: Dave likes green. Distractor: Alice likes blue. Distractor: Bob likes blue. Distractor: Carol likes yellow. Dave likes blue. Actually, Dave likes red. What color does Dave like?",red,red,,,,1,1,0,0,97.32828699998208,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Distractor: Dave likes red. Distractor: Alice likes blue. Distractor: Alice likes yellow. Distractor: Alice likes blue. Distractor: Alice likes green. Distractor: Dave likes green. Distractor: Alice likes red. Distractor: Dave likes red. Distractor: Dave likes red. Distractor: Dave likes red. Dave likes yellow. Actually, Dave likes green. What color does Dave like?",green,Dave likes green.,,,,3,1,1,1,174.87192699991283,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Distractor: Bob likes yellow. Distractor: Dave likes yellow. Distractor: Bob likes yellow. Distractor: Alice likes red. Distractor: Bob likes red. Distractor: Carol likes blue. Distractor: Dave likes blue. Distractor: Dave likes red. Distractor: Dave likes red. Distractor: Dave likes red. Bob likes red. Actually, Bob likes green. What color does Bob like?",green,Green,,,,1,1,0,0,93.95316500012996,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Distractor: Alice likes yellow. Distractor: Alice likes green. Distractor: Alice likes blue. Distractor: Bob likes yellow. Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Carol likes green. Distractor: Alice likes red. Distractor: Bob likes green. Distractor: Bob likes blue. Bob likes blue. Actually, Bob likes yellow. What color does Bob like?",yellow,blue,,,,1,1,0,0,97.87806999975146,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Distractor: Dave likes green. Distractor: Bob likes green. Distractor: Bob likes yellow. Distractor: Carol likes yellow. Distractor: Alice likes green. Distractor: Alice likes green. Distractor: Alice likes blue. Distractor: Bob likes red. Distractor: Bob likes green. Distractor: Alice likes blue. Dave likes yellow. Actually, Dave likes green. What color does Dave like?",green,Dave likes green.,,,,3,1,1,1,174.63048599984177,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Alice likes blue. Distractor: Alice likes red. Distractor: Bob likes green. Distractor: Bob likes yellow. Distractor: Bob likes red. Distractor: Alice likes red. Dave likes yellow. Actually, Dave likes green. What color does Dave like?",green,Dave likes green.,,,,3,1,1,1,175.70159299975785,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Distractor: Bob likes green. Distractor: Alice likes blue. Distractor: Alice likes blue. Distractor: Bob likes yellow. Distractor: Dave likes blue. Distractor: Bob likes blue. Distractor: Dave likes blue. Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Bob likes red. Dave likes red. Actually, Dave likes green. What color does Dave like?",green,green,,,,1,1,0,0,96.57655099999829,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Distractor: Alice likes green. Distractor: Carol likes red. Distractor: Carol likes yellow. Distractor: Alice likes green. Distractor: Carol likes red. Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Bob likes yellow. Distractor: Alice likes green. Distractor: Bob likes yellow. Dave likes blue. Actually, Dave likes red. What color does Dave like?",red,red,,,,1,1,0,0,96.00331799993,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Distractor: Carol likes red. Distractor: Bob likes green. Distractor: Bob likes blue. Distractor: Alice likes blue. Distractor: Dave likes green. Distractor: Alice likes green. Distractor: Alice likes yellow. Distractor: Bob likes blue. Distractor: Dave likes green. Distractor: Bob likes green. Carol likes green. Actually, Carol likes red. What color does Carol like?",red,Carol likes red.,,,,3,1,1,1,173.47394900025392,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Distractor: Alice likes red. Distractor: Alice likes blue. Distractor: Bob likes green. Distractor: Alice likes yellow. Distractor: Bob likes red. Distractor: Dave likes red. Distractor: Bob likes blue. Distractor: Carol likes red. Distractor: Carol likes red. Distractor: Alice likes green. Alice likes green. Actually, Alice likes yellow. What color does Alice like?",yellow,Alice likes yellow.,,,,3,1,1,1,174.37309399974765,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Distractor: Carol likes blue. Distractor: Alice likes green. Distractor: Dave likes blue. Distractor: Alice likes red. Distractor: Alice likes green. Distractor: Bob likes red. Distractor: Bob likes red. Distractor: Dave likes green. Distractor: Carol likes yellow. Distractor: Dave likes yellow. Dave likes yellow. Actually, Dave likes blue. What color does Dave like?",blue,blue,,,,1,1,0,0,97.12019600010535,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Distractor: Dave likes red. Distractor: Alice likes blue. Distractor: Bob likes green. Distractor: Bob likes green. Distractor: Carol likes red. Distractor: Alice likes red. Distractor: Alice likes green. Distractor: Alice likes green. Distractor: Bob likes green. Distractor: Dave likes green. Dave likes green. Actually, Dave likes blue. What color does Dave like?",blue,Dave likes blue.,,,,3,1,1,1,174.4229539999651,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Distractor: Dave likes blue. Distractor: Dave likes red. Distractor: Carol likes blue. Distractor: Dave likes green. Distractor: Alice likes green. Distractor: Bob likes green. Distractor: Carol likes red. Distractor: Alice likes yellow. Distractor: Alice likes blue. Distractor: Bob likes green. Alice likes red. Actually, Alice likes green. What color does Alice like?",green,Alice likes green.,,,,3,1,1,1,174.10403299982136,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Distractor: Carol likes red. Distractor: Alice likes yellow. Distractor: Bob likes green. Distractor: Carol likes green. Distractor: Dave likes yellow. Distractor: Carol likes green. Distractor: Bob likes blue. Distractor: Bob likes red. Distractor: Dave likes blue. Distractor: Dave likes green. Bob likes yellow. Actually, Bob likes green. What color does Bob like?",green,Bob likes green.,,,,3,1,1,1,176.54151799979445,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Distractor: Alice likes yellow. Distractor: Alice likes red. Distractor: Carol likes green. Distractor: Dave likes blue. Distractor: Carol likes red. Distractor: Bob likes blue. Distractor: Carol likes red. Distractor: Dave likes green. Distractor: Carol likes green. Distractor: Bob likes green. Carol likes yellow. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,95.53844499987463,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"Distractor: Alice likes green. Distractor: Bob likes red. Distractor: Carol likes blue. Distractor: Alice likes red. Distractor: Carol likes yellow. Distractor: Dave likes green. Distractor: Alice likes yellow. Distractor: Carol likes red. Distractor: Alice likes yellow. Distractor: Carol likes red. Carol likes yellow. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,97.44416700050351,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"Distractor: Carol likes yellow. Distractor: Dave likes yellow. Distractor: Bob likes red. Distractor: Alice likes yellow. Distractor: Carol likes red. Distractor: Dave likes red. Distractor: Alice likes yellow. Distractor: Dave likes blue. Distractor: Alice likes red. Distractor: Alice likes red. Alice likes green. Actually, Alice likes red. What color does Alice like?",red,Alice likes red.,,,,3,1,1,1,174.84284700003627,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"Distractor: Alice likes blue. Distractor: Bob likes blue. Distractor: Carol likes green. Distractor: Bob likes green. Distractor: Dave likes red. Distractor: Carol likes green. Distractor: Dave likes red. Distractor: Bob likes yellow. Distractor: Alice likes green. Distractor: Dave likes blue. Alice likes red. Actually, Alice likes green. What color does Alice like?",green,Alice likes green.,,,,3,1,1,1,173.33705900000496,,,,,105.47936090284811,2587.68359375,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
