idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.batch_size,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits_at_k,retrieval.episodic.k,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.batch_size,retrieval.relational.hit_rate_at_k,retrieval.relational.hits_at_k,retrieval.relational.k,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.batch_size,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits_at_k,retrieval.spatial.k,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gating.episodic.accepted,gating.episodic.aggregated,gating.episodic.attempts,gating.episodic.blocked,gating.episodic.blocked_new_edges,gating.episodic.inserted,gating.episodic.null_input,gating.episodic.routed_to_episodic,gating.episodic.skipped,gating.relational.accepted,gating.relational.aggregated,gating.relational.attempts,gating.relational.blocked,gating.relational.blocked_new_edges,gating.relational.inserted,gating.relational.null_input,gating.relational.routed_to_episodic,gating.relational.skipped,gating.spatial.accepted,gating.spatial.aggregated,gating.spatial.attempts,gating.spatial.blocked,gating.spatial.blocked_new_edges,gating.spatial.inserted,gating.spatial.null_input,gating.spatial.routed_to_episodic,gating.spatial.skipped
10,"Distractor: Carol likes yellow. Distractor: Carol likes yellow. Distractor: Alice likes red. Distractor: Carol likes blue. Distractor: Alice likes blue. Distractor: Carol likes blue. Distractor: Carol likes green. Distractor: Alice likes blue. Distractor: Alice likes blue. Distractor: Alice likes blue. Alice likes red. Actually, Alice likes blue. What color does Alice like?",blue,blue,1,1,1.0,1,1,0,0,90.89797700289637,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Distractor: Bob likes red. Distractor: Alice likes blue. Distractor: Bob likes red. Distractor: Alice likes green. Distractor: Bob likes green. Distractor: Bob likes green. Distractor: Dave likes yellow. Distractor: Bob likes blue. Distractor: Carol likes blue. Distractor: Bob likes green. Bob likes yellow. Actually, Bob likes green. What color does Bob like?",green,Bob likes green.,0,0,0.0,3,1,1,1,159.62651099835057,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Distractor: Carol likes blue. Distractor: Dave likes green. Distractor: Dave likes red. Distractor: Bob likes blue. Distractor: Alice likes blue. Distractor: Alice likes green. Distractor: Carol likes blue. Distractor: Bob likes yellow. Distractor: Dave likes yellow. Distractor: Alice likes yellow. Bob likes green. Actually, Bob likes blue. What color does Bob like?",blue,blue,1,1,1.0,1,1,0,0,87.99973900022451,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Distractor: Alice likes green. Distractor: Bob likes red. Distractor: Carol likes red. Distractor: Alice likes red. Distractor: Carol likes red. Distractor: Carol likes green. Distractor: Carol likes blue. Distractor: Alice likes yellow. Distractor: Alice likes blue. Distractor: Alice likes green. Dave likes blue. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,1,1,1.0,1,1,0,0,89.27844599747914,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Distractor: Carol likes green. Distractor: Bob likes red. Distractor: Alice likes yellow. Distractor: Bob likes red. Distractor: Carol likes red. Distractor: Bob likes blue. Distractor: Carol likes blue. Distractor: Dave likes blue. Distractor: Dave likes yellow. Distractor: Alice likes green. Bob likes green. Actually, Bob likes red. What color does Bob like?",red,red,1,1,1.0,1,1,0,0,90.22164300040458,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Distractor: Alice likes yellow. Distractor: Alice likes blue. Distractor: Carol likes blue. Distractor: Alice likes red. Distractor: Dave likes yellow. Distractor: Dave likes yellow. Distractor: Bob likes green. Distractor: Carol likes blue. Distractor: Carol likes green. Distractor: Alice likes red. Bob likes blue. Actually, Bob likes green. What color does Bob like?",green,green,1,1,1.0,1,1,0,0,95.06025399969076,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Distractor: Dave likes yellow. Distractor: Carol likes blue. Distractor: Bob likes yellow. Distractor: Bob likes blue. Distractor: Bob likes green. Distractor: Alice likes green. Distractor: Carol likes red. Distractor: Bob likes green. Distractor: Dave likes blue. Distractor: Alice likes green. Carol likes blue. Actually, Carol likes red. What color does Carol like?",red,red,1,1,1.0,1,1,0,0,94.28211900012684,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"Distractor: Carol likes green. Distractor: Dave likes red. Distractor: Dave likes blue. Distractor: Dave likes green. Distractor: Dave likes red. Distractor: Bob likes yellow. Distractor: Carol likes red. Distractor: Carol likes yellow. Distractor: Carol likes blue. Distractor: Carol likes yellow. Carol likes green. Actually, Carol likes red. What color does Carol like?",red,Carol likes red.,0,0,0.0,3,1,1,1,170.16896000131965,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Distractor: Dave likes red. Distractor: Dave likes blue. Distractor: Alice likes yellow. Distractor: Carol likes yellow. Distractor: Dave likes yellow. Distractor: Dave likes blue. Distractor: Alice likes green. Distractor: Bob likes red. Distractor: Alice likes yellow. Distractor: Alice likes red. Carol likes red. Actually, Carol likes blue. What color does Carol like?",blue,blue,1,1,1.0,1,1,0,0,93.34326300086104,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Distractor: Carol likes yellow. Distractor: Dave likes red. Distractor: Carol likes yellow. Distractor: Bob likes yellow. Distractor: Bob likes blue. Distractor: Dave likes green. Distractor: Bob likes yellow. Distractor: Dave likes red. Distractor: Dave likes blue. Distractor: Carol likes yellow. Alice likes green. Actually, Alice likes blue. What color does Alice like?",blue,Alice likes blue.,0,0,0.0,3,1,1,1,160.3797960015072,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Distractor: Bob likes yellow. Distractor: Carol likes yellow. Distractor: Bob likes yellow. Distractor: Dave likes red. Distractor: Dave likes blue. Distractor: Alice likes yellow. Distractor: Bob likes yellow. Distractor: Dave likes red. Distractor: Bob likes red. Distractor: Alice likes red. Carol likes blue. Actually, Carol likes green. What color does Carol like?",green,Carol likes green.,0,0,0.0,3,1,1,1,163.0887530009204,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Distractor: Bob likes green. Distractor: Bob likes green. Distractor: Carol likes yellow. Distractor: Carol likes green. Distractor: Alice likes green. Distractor: Dave likes green. Distractor: Carol likes blue. Distractor: Dave likes blue. Distractor: Dave likes green. Distractor: Bob likes yellow. Carol likes red. Actually, Carol likes yellow. What color does Carol like?",yellow,Carol likes yellow.,0,0,0.0,3,1,1,1,160.2874359996349,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Distractor: Alice likes green. Distractor: Alice likes yellow. Distractor: Carol likes blue. Distractor: Bob likes green. Distractor: Alice likes blue. Distractor: Dave likes blue. Distractor: Alice likes blue. Distractor: Alice likes red. Distractor: Alice likes green. Distractor: Alice likes red. Carol likes yellow. Actually, Carol likes red. What color does Carol like?",red,red,1,1,1.0,1,1,0,0,87.83022699935827,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Distractor: Bob likes yellow. Distractor: Dave likes blue. Distractor: Dave likes blue. Distractor: Alice likes yellow. Distractor: Bob likes yellow. Distractor: Carol likes green. Distractor: Alice likes blue. Distractor: Carol likes green. Distractor: Alice likes blue. Distractor: Alice likes yellow. Bob likes red. Actually, Bob likes yellow. What color does Bob like?",yellow,yellow,1,1,1.0,1,1,0,0,89.1005759986001,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Distractor: Bob likes green. Distractor: Carol likes yellow. Distractor: Carol likes green. Distractor: Alice likes green. Distractor: Bob likes yellow. Distractor: Carol likes yellow. Distractor: Bob likes red. Distractor: Alice likes blue. Distractor: Dave likes yellow. Distractor: Carol likes blue. Alice likes green. Actually, Alice likes yellow. What color does Alice like?",yellow,Alice likes yellow.,0,0,0.0,3,1,1,1,159.83302200038452,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Distractor: Dave likes red. Distractor: Dave likes red. Distractor: Dave likes red. Distractor: Bob likes red. Distractor: Carol likes blue. Distractor: Carol likes green. Distractor: Dave likes green. Distractor: Alice likes blue. Distractor: Bob likes blue. Distractor: Carol likes yellow. Dave likes blue. Actually, Dave likes red. What color does Dave like?",red,Dave likes red.,0,0,0.0,3,1,1,1,169.69484600122087,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Distractor: Dave likes red. Distractor: Alice likes blue. Distractor: Alice likes yellow. Distractor: Alice likes blue. Distractor: Alice likes green. Distractor: Dave likes green. Distractor: Alice likes red. Distractor: Dave likes red. Distractor: Dave likes red. Distractor: Dave likes red. Dave likes yellow. Actually, Dave likes green. What color does Dave like?",green,Dave likes green.,0,0,0.0,3,1,1,1,176.2921190020279,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Distractor: Bob likes yellow. Distractor: Dave likes yellow. Distractor: Bob likes yellow. Distractor: Alice likes red. Distractor: Bob likes red. Distractor: Carol likes blue. Distractor: Dave likes blue. Distractor: Dave likes red. Distractor: Dave likes red. Distractor: Dave likes red. Bob likes red. Actually, Bob likes green. What color does Bob like?",green,Bob likes green.,0,0,0.0,3,1,1,1,169.4507739994151,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Distractor: Alice likes yellow. Distractor: Alice likes green. Distractor: Alice likes blue. Distractor: Bob likes yellow. Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Carol likes green. Distractor: Alice likes red. Distractor: Bob likes green. Distractor: Bob likes blue. Bob likes blue. Actually, Bob likes yellow. What color does Bob like?",yellow,Blue,0,0,0.0,1,1,0,0,89.6777199995995,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Distractor: Dave likes green. Distractor: Bob likes green. Distractor: Bob likes yellow. Distractor: Carol likes yellow. Distractor: Alice likes green. Distractor: Alice likes green. Distractor: Alice likes blue. Distractor: Bob likes red. Distractor: Bob likes green. Distractor: Alice likes blue. Dave likes yellow. Actually, Dave likes green. What color does Dave like?",green,green,1,1,1.0,1,1,0,0,89.20571600174299,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Alice likes blue. Distractor: Alice likes red. Distractor: Bob likes green. Distractor: Bob likes yellow. Distractor: Bob likes red. Distractor: Alice likes red. Dave likes yellow. Actually, Dave likes green. What color does Dave like?",green,Dave likes green.,0,0,0.0,3,1,1,1,164.8324349989707,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Distractor: Bob likes green. Distractor: Alice likes blue. Distractor: Alice likes blue. Distractor: Bob likes yellow. Distractor: Dave likes blue. Distractor: Bob likes blue. Distractor: Dave likes blue. Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Bob likes red. Dave likes red. Actually, Dave likes green. What color does Dave like?",green,green,1,1,1.0,1,1,0,0,88.7520529977337,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Distractor: Alice likes green. Distractor: Carol likes red. Distractor: Carol likes yellow. Distractor: Alice likes green. Distractor: Carol likes red. Distractor: Bob likes yellow. Distractor: Carol likes blue. Distractor: Bob likes yellow. Distractor: Alice likes green. Distractor: Bob likes yellow. Dave likes blue. Actually, Dave likes red. What color does Dave like?",red,red,1,1,1.0,1,1,0,0,89.43478799847071,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Distractor: Carol likes red. Distractor: Bob likes green. Distractor: Bob likes blue. Distractor: Alice likes blue. Distractor: Dave likes green. Distractor: Alice likes green. Distractor: Alice likes yellow. Distractor: Bob likes blue. Distractor: Dave likes green. Distractor: Bob likes green. Carol likes green. Actually, Carol likes red. What color does Carol like?",red,Carol likes red.,0,0,0.0,3,1,1,1,161.38989200044307,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Distractor: Alice likes red. Distractor: Alice likes blue. Distractor: Bob likes green. Distractor: Alice likes yellow. Distractor: Bob likes red. Distractor: Dave likes red. Distractor: Bob likes blue. Distractor: Carol likes red. Distractor: Carol likes red. Distractor: Alice likes green. Alice likes green. Actually, Alice likes yellow. What color does Alice like?",yellow,yellow,1,1,1.0,1,1,0,0,87.8294169997389,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Distractor: Carol likes blue. Distractor: Alice likes green. Distractor: Dave likes blue. Distractor: Alice likes red. Distractor: Alice likes green. Distractor: Bob likes red. Distractor: Bob likes red. Distractor: Dave likes green. Distractor: Carol likes yellow. Distractor: Dave likes yellow. Dave likes yellow. Actually, Dave likes blue. What color does Dave like?",blue,blue,1,1,1.0,1,1,0,0,91.88919399821316,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Distractor: Dave likes red. Distractor: Alice likes blue. Distractor: Bob likes green. Distractor: Bob likes green. Distractor: Carol likes red. Distractor: Alice likes red. Distractor: Alice likes green. Distractor: Alice likes green. Distractor: Bob likes green. Distractor: Dave likes green. Dave likes green. Actually, Dave likes blue. What color does Dave like?",blue,Dave likes blue.,0,0,0.0,3,1,1,1,161.23846100163064,,,,,97.17808181385757,2276.265625,pre_replay,False,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
